task_lang,transfer_lang,bleu,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
ori,nld,6.930035245252969,20.504385,0.09454256270373995,0.35560332262229943,0.658,0.45099389905494536,0.9909966127492078
wln,nld,6.513771949896915,21.91553,0.15632790305088473,0.017963053526161114,0.0,0.47356726001826704,0.9942054434512999
rus,nld,6.322001222349802,19.760813,0.09096897153677985,0.2223575675880519,0.3498,0.4687105913586818,0.06082850643268145
mal,slk,1.65522606189697,25.996737,0.16413270033669003,0.3022300563991089,0.615,0.49293112965008135,0.6587646768932311
dzo,msa,5.58532194134424,28.84435,0.1000909682585035,0.18129123134651148,0.658,0.4880950443486059,0.9992483846050666
mar,slk,1.4810104084627869,25.629366,0.15437553159390793,0.30402701524020614,0.6019,0.4575468247262635,0.6071364315495513
hin,slk,1.4521531986979808,25.316822,0.1915373946384833,0.3033115240414885,0.4287,0.47551430598908057,0.3484984785312546
gla,swe,58.5233854061665,23.572523,0.09182470921180652,0.10257764551796582,0.1789,0.46410049366225425,0.9938850007071351
swe,swe,30.94352775625764,0.0004472136,0.0,2.5559550689651284e-19,0.0,0.0,0.0
tuk,swe,20.016977954494845,22.644192,0.12872341223905548,0.2014657868352876,0.4161,0.505050485106743,0.9973381138220083
dan,swe,19.220950583451007,16.63735,0.05302953188554582,0.04474879504101292,0.0,0.2776657034011468,0.881261682064376
ibo,swe,16.887145452483757,22.121262,0.13539281487638433,0.2993903963396522,0.1864,0.49969203457736344,0.9834064039691307
kir,swe,13.286931896163305,25.290535,0.12099635447792267,0.21728664814242385,0.4161,0.47956591439913143,0.9709428596546887
zul,swe,12.267149297135807,25.273544,0.13052951834892923,0.5109491618075503,0.1864,0.4938187703208387,0.9955182918671809
