dataset,task,model,metric,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
sib200_mt5,sib200,mt5,f1_score,composite_equal,mlp_listnet,performance_loss_pct,1.1324502563696393,-1.8142750621294739,4.1118971763921,0.452,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,rrf_equal,performance_loss_pct,0.6631530905737464,-1.3857616824317576,2.836714188298751,0.5494,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,single_distals_asjp,performance_loss_pct,0.08448733377175326,-2.8968728278324782,3.0749928115882943,0.968,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,single_distals_wiki_size,performance_loss_pct,-2.45285246260545,-6.274201655990463,1.3091061101690213,0.2079,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,single_new_gen,performance_loss_pct,-1.515168683847903,-4.694059546177069,1.68364085721163,0.3402,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,single_new_geo,performance_loss_pct,1.156466803319631,-2.119067220435056,4.439773177368167,0.5,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,single_new_typ,performance_loss_pct,-1.4728523888230958,-4.88325551343023,2.0389556510443874,0.4059,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,single_script,performance_loss_pct,2.8908913447298947,-0.1798378180396603,6.100361737451012,0.0665,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,mlp_listnet,performance_loss_pct,1.8779780900230862,-1.5193349406637044,5.2475066442891105,0.2764,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,rrf_equal,performance_loss_pct,1.4086809242271927,-1.7695067027595732,4.613760885449774,0.3831,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,single_distals_asjp,performance_loss_pct,0.8300151674251999,-2.435255433048774,4.045521774655223,0.6128,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,single_distals_wiki_size,performance_loss_pct,-1.707324628952004,-5.588592513980558,2.180764982201809,0.3967,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,single_new_gen,performance_loss_pct,-0.7696408501944567,-3.9838969088060563,2.43752368816804,0.6358,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,single_new_geo,performance_loss_pct,1.901994636973078,-0.7439267052098331,4.625745204340531,0.1649,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,single_new_typ,performance_loss_pct,-0.7273245551696491,-4.254404703916291,2.8836119015574293,0.6922,185
