dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),39.149812206981636,37.24020437092417,41.044458387892554,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,8.569470464621217,8.115943173666778,9.027876695546265,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),9.962382807541601,8.843901733990732,11.132395456009357,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,2.5659240736902653,2.2233609314767735,2.932851025315919,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),11.700436808838576,10.454331928992218,13.007361085678728,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,2.970373025855814,2.6089120013339335,3.354477596652159,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),59.66513964590412,58.17102736097926,61.10677415034899,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,12.965694842148244,12.583860845870971,13.35061355283798,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),45.97474329023978,43.98365407345906,47.97360610111094,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,9.918774544149585,9.463111947894166,10.38119399522343,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),62.12841529258222,60.75722529266486,63.441405004914756,762
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,13.542727723619619,13.152256004535241,13.940471214814856,762
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),14.891454904018026,7.320909802820078,23.241726142926424,9
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,10.057014662096046,4.736136069832084,16.403666801053962,9
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),10.46643380209982,5.508507082198185,15.377190735422028,9
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,6.815604702916499,3.5614511820047374,10.016644935174998,9
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),8.645585093700195,3.6361813014822513,13.991560283412813,9
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,5.470504928450451,2.3185639165176912,8.825108177054998,9
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),21.457699533754962,10.20680155234762,33.33353517085071,9
